user,item,title,rating
178,248,Grosse Pointe Blank (1997),4
254,1444,That Darn Cat! (1965),3
293,5,Copycat (1995),3
127,229,Star Trek III: The Search for Spock (1984),5
225,237,Jerry Maguire (1996),5
299,229,Star Trek III: The Search for Spock (1984),3
225,480,North by Northwest (1959),5
276,54,Outbreak (1995),3
291,144,Die Hard (1988),5
222,366,Dangerous Minds (1995),4
267,518,Miller's Crossing (1990),5
42,403,Batman (1989),3
11,111,"Truth About Cats & Dogs, The (1996)",4
95,625,"Sword in the Stone, The (1963)",4
8,338,Bean (1997),4
162,25,"Birdcage, The (1996)",4
87,1016,Con Air (1997),4
279,154,Monty Python's Life of Brian (1979),5
145,275,Sense and Sensibility (1995),2
119,1153,Backbeat (1993),5
62,498,"African Queen, The (1951)",4
62,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",3
28,209,This Is Spinal Tap (1984),4
135,23,Taxi Driver (1976),4
32,294,Liar Liar (1997),3
90,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",5
286,208,Young Frankenstein (1974),4
293,685,Executive Decision (1996),3
216,144,Die Hard (1988),4
166,328,Conspiracy Theory (1997),5
250,496,It's a Wonderful Life (1946),4
271,132,"Wizard of Oz, The (1939)",5
160,174,Raiders of the Lost Ark (1981),5
265,118,Twister (1996),4
198,498,"African Queen, The (1951)",3
42,96,Terminator 2: Judgment Day (1991),5
168,151,Willy Wonka and the Chocolate Factory (1971),5
110,307,"Devil's Advocate, The (1997)",4
58,144,Die Hard (1988),4
90,648,"Quiet Man, The (1952)",4
271,346,Jackie Brown (1997),4
62,21,Muppet Treasure Island (1996),3
279,832,Bogus (1996),3
237,514,Annie Hall (1977),4
94,789,Swimming with Sharks (1995),4
128,485,My Fair Lady (1964),3
298,317,In the Name of the Father (1993),4
44,195,"Terminator, The (1984)",5
264,200,"Shining, The (1980)",5
194,385,True Lies (1994),2
72,195,"Terminator, The (1984)",5
222,750,Amistad (1997),5
250,264,Mimic (1997),3
41,265,"Hunt for Red October, The (1990)",3
224,245,"Devil's Own, The (1997)",3
82,135,2001: A Space Odyssey (1968),3
262,1147,My Family (1995),4
293,471,Courage Under Fire (1996),3
216,658,Pump Up the Volume (1990),3
250,140,Homeward Bound: The Incredible Journey (1993),3
59,23,Taxi Driver (1976),5
286,379,Tales From the Crypt Presents: Demon Knight (1995),5
244,815,One Fine Day (1996),4
7,479,Vertigo (1958),4
174,368,Bio-Dome (1996),1
87,274,Sabrina (1995),4
194,1211,Blue Sky (1994),2
82,1134,Get on the Bus (1996),2
13,836,Ninotchka (1939),2
13,272,Good Will Hunting (1997),4
244,756,Father of the Bride Part II (1995),2
305,427,To Kill a Mockingbird (1962),5
95,787,Roommates (1995),2
43,14,"Postino, Il (1994)",2
299,955,Before Sunrise (1995),4
57,419,Mary Poppins (1964),3
84,405,Mission: Impossible (1996),3
269,504,Bonnie and Clyde (1967),4
299,111,"Truth About Cats & Dogs, The (1996)",3
194,466,Red Rock West (1992),4
160,135,2001: A Space Odyssey (1968),4
99,268,Chasing Amy (1997),3
10,486,Sabrina (1954),4
259,117,"Rock, The (1996)",4
85,427,To Kill a Mockingbird (1962),3
303,919,"City of Lost Children, The (1995)",4
213,273,Heat (1995),5
121,514,Annie Hall (1977),3
90,98,"Silence of the Lambs, The (1991)",5
49,559,Interview with the Vampire (1994),2
42,794,It Could Happen to You (1994),3
155,323,Dante's Peak (1997),2
68,117,"Rock, The (1996)",4
172,177,"Good, The Bad and The Ugly, The (1966)",4
19,4,Get Shorty (1995),4
268,231,Batman Returns (1992),4
5,2,GoldenEye (1995),3
305,117,"Rock, The (1996)",2
44,294,Liar Liar (1997),4
43,137,Big Night (1996),4
279,1336,Kazaam (1996),1
80,466,Red Rock West (1992),5
254,164,"Abyss, The (1989)",4
298,281,"River Wild, The (1994)",3
279,1240,Ghost in the Shell (Kokaku kidotai) (1995),1
66,298,Face/Off (1997),4
18,443,"Birds, The (1963)",3
268,1035,Cool Runnings (1993),2
99,79,"Fugitive, The (1993)",4
13,98,"Silence of the Lambs, The (1991)",4
26,258,Contact (1997),3
7,455,Jackie Chan's First Strike (1996),4
222,755,Jumanji (1995),4
200,673,Cape Fear (1962),5
119,328,Conspiracy Theory (1997),4
213,172,"Empire Strikes Back, The (1980)",5
276,322,Murder at 1600 (1997),3
94,1217,Assassins (1995),3
130,379,Tales From the Crypt Presents: Demon Knight (1995),4
38,328,Conspiracy Theory (1997),4
160,719,Canadian Bacon (1994),3
293,1267,Clockers (1995),3
26,930,Chain Reaction (1996),2
130,216,When Harry Met Sally... (1989),4
92,1079,Joe's Apartment (1996),3
256,452,Jaws 2 (1978),4
1,61,Three Colors: White (1994),4
72,48,Hoop Dreams (1994),4
56,755,Jumanji (1995),3
13,360,Wonderland (1997),4
15,405,Mission: Impossible (1996),2
92,77,"Firm, The (1993)",3
207,476,"First Wives Club, The (1996)",2
292,174,Raiders of the Lost Ark (1981),5
232,483,Casablanca (1942),5
251,748,"Saint, The (1997)",2
224,26,"Brothers McMullen, The (1995)",3
181,220,"Mirror Has Two Faces, The (1996)",4
259,255,My Best Friend's Wedding (1997),4
305,471,Courage Under Fire (1996),4
52,280,Up Close and Personal (1996),3
161,202,Groundhog Day (1993),5
148,408,"Close Shave, A (1995)",5
125,235,Mars Attacks! (1996),2
97,228,Star Trek: The Wrath of Khan (1982),5
58,1098,Flirting With Disaster (1996),4
83,234,Jaws (1975),4
90,347,Wag the Dog (1997),4
272,178,12 Angry Men (1957),5
194,181,Return of the Jedi (1983),3
125,478,"Philadelphia Story, The (1940)",4
110,688,Leave It to Beaver (1997),1
299,14,"Postino, Il (1994)",4
151,10,Richard III (1995),5
269,127,"Godfather, The (1972)",4
6,14,"Postino, Il (1994)",5
54,106,Diabolique (1996),3
303,69,Forrest Gump (1994),5
16,944,Renaissance Man (1994),1
301,790,Tommy Boy (1995),4
276,1091,Pete's Dragon (1977),3
305,214,Pink Floyd - The Wall (1982),2
194,1028,Grumpier Old Men (1995),2
91,323,Dante's Peak (1997),2
87,554,Waterworld (1995),4
294,109,Mystery Science Theater 3000: The Movie (1996),4
286,171,Delicatessen (1991),4
200,318,Schindler's List (1993),5
229,328,Conspiracy Theory (1997),1
178,568,Speed (1994),4
303,842,Pollyanna (1960),2
62,65,What's Eating Gilbert Grape (1993),4
207,591,Primal Fear (1996),3
92,172,"Empire Strikes Back, The (1980)",4
301,401,"Brady Bunch Movie, The (1995)",4
36,339,Mad City (1997),5
70,746,Real Genius (1985),3
63,242,Kolya (1996),3
28,201,Evil Dead II (1987),3
279,68,"Crow, The (1994)",4
250,7,Twelve Monkeys (1995),4
14,98,"Silence of the Lambs, The (1991)",3
299,1018,Tie Me Up! Tie Me Down! (1990),3
194,54,Outbreak (1995),3
303,815,One Fine Day (1996),3
119,237,Jerry Maguire (1996),5
295,218,Cape Fear (1991),5
268,930,Chain Reaction (1996),2
268,2,GoldenEye (1995),2
66,258,Contact (1997),4
233,202,Groundhog Day (1993),5
83,623,Angels in the Outfield (1994),4
214,334,U Turn (1997),3
192,476,"First Wives Club, The (1996)",2
100,344,"Apostle, The (1997)",4
268,145,"Lawnmower Man, The (1992)",1
301,56,Pulp Fiction (1994),4
307,89,Blade Runner (1982),5
234,141,"20,000 Leagues Under the Sea (1954)",3
83,576,Cliffhanger (1993),4
181,264,Mimic (1997),2
297,133,Gone with the Wind (1939),4
38,153,"Fish Called Wanda, A (1988)",5
7,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",4
264,813,"Celluloid Closet, The (1995)",4
181,872,Love Jones (1997),1
201,146,Unhook the Stars (1996),1
85,507,"Streetcar Named Desire, A (1951)",4
269,367,Clueless (1995),3
59,468,Rudy (1993),3
286,143,"Sound of Music, The (1965)",4
193,96,Terminator 2: Judgment Day (1991),1
113,595,"Fan, The (1996)",5
292,11,Seven (Se7en) (1995),5
130,1014,Romy and Michele's High School Reunion (1997),3
275,98,"Silence of the Lambs, The (1991)",4
189,520,"Great Escape, The (1963)",5
219,82,Jurassic Park (1993),1
218,209,This Is Spinal Tap (1984),5
123,427,To Kill a Mockingbird (1962),3
119,222,Star Trek: First Contact (1996),5
158,177,"Good, The Bad and The Ugly, The (1966)",4
222,118,Twister (1996),4
302,322,Murder at 1600 (1997),2
279,501,Dumbo (1941),3
301,79,"Fugitive, The (1993)",5
181,3,Four Rooms (1995),2
201,695,Kicking and Screaming (1995),1
13,198,Nikita (La Femme Nikita) (1990),3
1,189,"Grand Day Out, A (1992)",3
145,237,Jerry Maguire (1996),5
23,385,True Lies (1994),4
201,767,"Addiction, The (1995)",4
296,705,Singin' in the Rain (1952),5
42,546,Broken Arrow (1996),3
33,872,Love Jones (1997),3
301,554,Waterworld (1995),3
16,64,"Shawshank Redemption, The (1994)",5
95,135,2001: A Space Odyssey (1968),3
154,357,One Flew Over the Cuckoo's Nest (1975),4
77,484,"Maltese Falcon, The (1941)",5
296,508,"People vs. Larry Flynt, The (1996)",5
302,303,Ulee's Gold (1997),2
244,673,Cape Fear (1962),3
222,77,"Firm, The (1993)",4
13,215,Field of Dreams (1989),5
16,705,Singin' in the Rain (1952),5
270,452,Jaws 2 (1978),4
145,15,Mr. Holland's Opus (1995),2
187,64,"Shawshank Redemption, The (1994)",5
200,304,Fly Away Home (1996),5
170,749,"MatchMaker, The (1997)",5
101,829,Fled (1996),3
184,218,Cape Fear (1991),3
128,204,Back to the Future (1985),4
181,1295,Kicked in the Head (1997),1
184,153,"Fish Called Wanda, A (1988)",3
1,33,Desperado (1995),4
1,160,Glengarry Glen Ross (1992),4
184,321,Mother (1996),5
54,595,"Fan, The (1996)",3
94,343,Alien: Resurrection (1997),4
128,508,"People vs. Larry Flynt, The (1996)",4
23,323,Dante's Peak (1997),2
301,227,Star Trek VI: The Undiscovered Country (1991),3
301,191,Amadeus (1984),3
112,903,Afterglow (1997),1
82,183,Alien (1979),3
222,724,Circle of Friends (1995),3
218,430,Duck Soup (1933),3
308,1197,"Family Thing, A (1996)",4
303,134,Citizen Kane (1941),5
133,751,Tomorrow Never Dies (1997),3
215,212,"Unbearable Lightness of Being, The (1988)",2
69,256,When the Cats Away (Chacun cherche son chat) (1996),5
254,662,Somewhere in Time (1980),4
276,2,GoldenEye (1995),4
104,984,Shadow Conspiracy (1997),1
63,1067,Bottle Rocket (1996),3
267,410,Kingpin (1996),4
13,56,Pulp Fiction (1994),5
240,879,"Peacemaker, The (1997)",3
286,237,Jerry Maguire (1996),2
294,271,Starship Troopers (1997),5
90,1086,It's My Party (1995),4
18,26,"Brothers McMullen, The (1995)",4
92,229,Star Trek III: The Search for Spock (1984),3
308,649,Once Upon a Time in America (1984),4
144,89,Blade Runner (1982),3
191,302,L.A. Confidential (1997),4
59,951,"Indian in the Cupboard, The (1995)",3
200,96,Terminator 2: Judgment Day (1991),5
16,197,"Graduate, The (1967)",5
61,678,Volcano (1997),3
271,199,"Bridge on the River Kwai, The (1957)",4
271,709,Strictly Ballroom (1992),3
142,169,"Wrong Trousers, The (1993)",5
275,597,Eraser (1996),3
222,151,Willy Wonka and the Chocolate Factory (1971),3
87,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3
207,258,Contact (1997),4
272,1393,Stag (1997),2
177,333,"Game, The (1997)",4
207,1115,Twelfth Night (1996),2
299,577,Coneheads (1993),3
271,378,Miracle on 34th Street (1994),4
305,425,Bob Roberts (1992),4
49,959,Dazed and Confused (1993),2
94,1224,"Scout, The (1994)",3
130,1017,Trees Lounge (1996),3
10,175,Brazil (1985),3
203,321,Mother (1996),3
191,286,"English Patient, The (1996)",4
43,323,Dante's Peak (1997),3
21,558,Heavenly Creatures (1994),5
197,96,Terminator 2: Judgment Day (1991),5
13,344,"Apostle, The (1997)",2
194,66,While You Were Sleeping (1995),3
234,206,Akira (1988),4
308,402,Ghost (1990),4
308,640,"Cook the Thief His Wife & Her Lover, The (1989)",4
269,522,Down by Law (1986),5
94,265,"Hunt for Red October, The (1990)",4
268,62,Stargate (1994),3
272,12,"Usual Suspects, The (1995)",5
121,291,Absolute Power (1997),3
296,20,Angels and Insects (1995),5
134,286,"English Patient, The (1996)",3
180,462,Like Water For Chocolate (Como agua para chocolate) (1992),5
234,612,Lost Horizon (1937),3
104,117,"Rock, The (1996)",2
38,758,Lawnmower Man 2: Beyond Cyberspace (1996),1
269,845,That Thing You Do! (1996),1
7,163,"Return of the Pink Panther, The (1974)",4
234,1451,Foreign Correspondent (1940),3
275,405,Mission: Impossible (1996),2
52,250,"Fifth Element, The (1997)",3
102,823,Mulholland Falls (1996),3
13,186,"Blues Brothers, The (1980)",4
178,731,"Corrina, Corrina (1994)",4
236,71,"Lion King, The (1994)",3
256,781,French Kiss (1995),5
263,176,Aliens (1986),5
244,186,"Blues Brothers, The (1980)",3
279,1181,"Low Down Dirty Shame, A (1994)",4
43,815,One Fine Day (1996),4
83,78,Free Willy (1993),2
151,197,"Graduate, The (1967)",5
254,436,"American Werewolf in London, An (1981)",2
109,631,"Crying Game, The (1992)",3
297,716,Home for the Holidays (1995),3
249,188,Full Metal Jacket (1987),4
144,699,Little Women (1994),4
301,604,It Happened One Night (1934),4
64,392,"Man Without a Face, The (1993)",3
92,501,Dumbo (1941),2
222,97,Dances with Wolves (1990),4
268,436,"American Werewolf in London, An (1981)",3
293,135,2001: A Space Odyssey (1968),5
213,173,"Princess Bride, The (1987)",5
160,460,"Crossing Guard, The (1995)",2
13,498,"African Queen, The (1951)",4
59,715,To Die For (1995),5
5,17,From Dusk Till Dawn (1996),4
125,163,"Return of the Pink Panther, The (1974)",5
174,315,Apt Pupil (1998),5
114,505,Dial M for Murder (1954),3
213,515,"Boot, Das (1981)",4
23,196,Dead Poets Society (1989),2
128,15,Mr. Holland's Opus (1995),4
239,56,Pulp Fiction (1994),4
181,279,Once Upon a Time... When We Were Colored (1995),1
291,80,Hot Shots! Part Deux (1993),4
250,238,Raising Arizona (1987),4
201,649,Once Upon a Time in America (1984),3
60,60,Three Colors: Blue (1993),5
181,325,Crash (1996),2
119,407,Spy Hard (1996),3
287,1,Toy Story (1995),5
216,228,Star Trek: The Wrath of Khan (1982),3
216,531,Shine (1996),4
203,471,Courage Under Fire (1996),4
92,587,"Hour of the Pig, The (1993)",3
13,892,Flubber (1997),3
213,176,Aliens (1986),4
286,288,Scream (1996),5
117,1047,Multiplicity (1996),2
99,111,"Truth About Cats & Dogs, The (1996)",1
11,558,Heavenly Creatures (1994),3
65,47,Ed Wood (1994),2
295,194,"Sting, The (1973)",4
269,217,Bram Stoker's Dracula (1992),2
85,259,George of the Jungle (1997),2
250,596,"Hunchback of Notre Dame, The (1996)",5
137,144,Die Hard (1988),5
201,960,Naked (1993),2
257,137,Big Night (1996),4
111,328,Conspiracy Theory (1997),4
91,480,North by Northwest (1959),4
215,211,M*A*S*H (1970),4
181,938,"Smile Like Yours, A (1997)",1
189,1060,"Adventures of Pinocchio, The (1996)",5
1,20,Angels and Insects (1995),4
303,404,Pinocchio (1940),4
299,305,"Ice Storm, The (1997)",3
187,210,Indiana Jones and the Last Crusade (1989),4
222,278,Bed of Roses (1996),2
214,568,Speed (1994),4
293,770,Devil in a Blue Dress (1995),3
285,191,Amadeus (1984),4
303,252,"Lost World: Jurassic Park, The (1997)",3
96,156,Reservoir Dogs (1992),4
72,1110,Tank Girl (1995),3
115,1067,Bottle Rocket (1996),4
7,430,Duck Soup (1933),3
116,350,Fallen (1998),3
73,480,North by Northwest (1959),4
269,246,Chasing Amy (1997),5
263,419,Mary Poppins (1964),5
70,431,Highlander (1986),3
221,475,Trainspotting (1996),4
72,182,GoodFellas (1990),5
25,357,One Flew Over the Cuckoo's Nest (1975),4
290,50,Star Wars (1977),5
189,526,Ben-Hur (1959),4
299,303,Ulee's Gold (1997),3
264,294,Liar Liar (1997),3
200,365,Powder (1995),5
187,135,2001: A Space Odyssey (1968),4
184,187,"Godfather: Part II, The (1974)",4
63,289,Evita (1996),2
13,229,Star Trek III: The Search for Spock (1984),4
298,486,Sabrina (1954),3
235,185,Psycho (1960),4
62,712,Tin Men (1987),4
246,94,Home Alone (1990),2
54,742,Ransom (1996),5
63,762,Beautiful Girls (1996),3
11,732,Dave (1993),3
92,168,Monty Python and the Holy Grail (1974),4
8,550,Die Hard: With a Vengeance (1995),3
307,174,Raiders of the Lost Ark (1981),4
303,200,"Shining, The (1980)",4
256,849,Days of Thunder (1990),2
72,54,Outbreak (1995),3
164,406,Thinner (1996),2
117,150,Swingers (1996),4
224,77,"Firm, The (1993)",4
193,869,Fools Rush In (1997),3
94,184,Army of Darkness (1993),2
281,338,Bean (1997),2
130,109,Mystery Science Theater 3000: The Movie (1996),3
128,371,"Bridges of Madison County, The (1995)",1
94,720,First Knight (1995),1
182,845,That Thing You Do! (1996),3
129,873,Picture Perfect (1997),1
254,229,Star Trek III: The Search for Spock (1984),4
64,381,Muriel's Wedding (1994),4
151,176,Aliens (1986),2
45,25,"Birdcage, The (1996)",4
193,879,"Peacemaker, The (1997)",3
276,922,Dead Man (1995),4
276,57,Priest (1994),3
234,187,"Godfather: Part II, The (1974)",4
181,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",1
21,370,Mary Reilly (1996),1
293,249,Austin Powers: International Man of Mystery (1997),3
264,721,Mallrats (1995),5
10,611,Laura (1944),5
197,346,Jackie Brown (1997),3
276,142,Bedknobs and Broomsticks (1971),3
308,427,To Kill a Mockingbird (1962),4
221,943,Killing Zoe (1994),4
131,126,"Spitfire Grill, The (1996)",4
268,824,"Great White Hype, The (1996)",2
109,8,Babe (1995),3
198,58,Quiz Show (1994),3
230,680,Kull the Conqueror (1997),4
181,741,"Last Supper, The (1995)",1
192,1061,"Evening Star, The (1996)",4
234,448,"Omen, The (1976)",3
90,900,Kundun (1997),4
193,941,With Honors (1994),4
128,603,Rear Window (1954),5
126,905,Great Expectations (1998),2
244,265,"Hunt for Red October, The (1990)",4
90,289,Evita (1996),3
157,25,"Birdcage, The (1996)",3
305,71,"Lion King, The (1994)",3
119,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",5
21,222,Star Trek: First Contact (1996),2
231,181,Return of the Jedi (1983),4
280,508,"People vs. Larry Flynt, The (1996)",3
288,132,"Wizard of Oz, The (1939)",3
279,1497,"Line King: Al Hirschfeld, The (1996)",2
301,33,Desperado (1995),4
72,699,Little Women (1994),3
90,259,George of the Jungle (1997),2
308,55,"Professional, The (1994)",3
59,742,Ransom (1996),3
94,744,Michael Collins (1996),4
130,642,"Grifters, The (1990)",4
26,1015,Shiloh (1997),3
56,121,Independence Day (ID4) (1996),5
82,508,"People vs. Larry Flynt, The (1996)",2
62,12,"Usual Suspects, The (1995)",4
276,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3
181,1015,Shiloh (1997),1
152,301,In & Out (1997),3
178,845,That Thing You Do! (1996),4
217,597,Eraser (1996),4
79,303,Ulee's Gold (1997),4
138,484,"Maltese Falcon, The (1941)",4
308,81,"Hudsucker Proxy, The (1994)",5
75,284,Tin Cup (1996),2
269,198,Nikita (La Femme Nikita) (1990),4
307,94,Home Alone (1990),3
222,781,French Kiss (1995),3
121,740,Jane Eyre (1996),3
269,22,Braveheart (1995),1
13,864,My Fellow Americans (1996),4
230,742,Ransom (1996),5
269,507,"Streetcar Named Desire, A (1951)",4
239,1099,"Red Firecracker, Green Firecracker (1994)",5
245,1028,Grumpier Old Men (1995),5
56,546,Broken Arrow (1996),3
295,961,Orlando (1993),5
271,1028,Grumpier Old Men (1995),2
222,812,Andre (1994),2
69,240,Beavis and Butt-head Do America (1996),3
10,7,Twelve Monkeys (1995),4
22,376,Houseguest (1994),3
294,931,"Island of Dr. Moreau, The (1996)",3
82,717,"Juror, The (1996)",1
279,399,"Three Musketeers, The (1993)",4
269,234,Jaws (1975),1
6,98,"Silence of the Lambs, The (1991)",5
243,1039,Hamlet (1996),4
298,181,Return of the Jedi (1983),4
282,325,Crash (1996),1
78,323,Dante's Peak (1997),1
118,200,"Shining, The (1980)",5
283,1114,Faithful (1996),5
171,292,Rosewood (1997),4
70,217,Bram Stoker's Dracula (1992),4
10,100,Fargo (1996),5
245,181,Return of the Jedi (1983),4
107,333,"Game, The (1997)",3
246,561,Mary Shelley's Frankenstein (1994),1
13,901,Mr. Magoo (1997),1
276,70,Four Weddings and a Funeral (1994),4
244,17,From Dusk Till Dawn (1996),2
189,56,Pulp Fiction (1994),5
226,242,Kolya (1996),5
62,1016,Con Air (1997),4
276,417,"Parent Trap, The (1961)",4
214,478,"Philadelphia Story, The (1940)",4
306,235,Mars Attacks! (1996),4
222,26,"Brothers McMullen, The (1995)",3
280,631,"Crying Game, The (1992)",5
60,430,Duck Soup (1933),5
56,71,"Lion King, The (1994)",4
42,274,Sabrina (1995),5
1,202,Groundhog Day (1993),5
13,809,Rising Sun (1993),4
173,289,Evita (1996),4
15,749,"MatchMaker, The (1997)",1
185,23,Taxi Driver (1976),4
280,540,Money Train (1995),3
244,381,Muriel's Wedding (1994),4
150,293,Donnie Brasco (1997),4
7,497,Bringing Up Baby (1938),4
178,317,In the Name of the Father (1993),4
178,742,Ransom (1996),3
95,1217,Assassins (1995),3
234,1462,"Thieves (Voleurs, Les) (1996)",3
97,222,Star Trek: First Contact (1996),5
109,127,"Godfather, The (1972)",2
117,268,Chasing Amy (1997),5
269,705,Singin' in the Rain (1952),2
130,1246,Bushwhacked (1995),3
264,655,Stand by Me (1986),4
207,13,Mighty Aphrodite (1995),3
42,588,Beauty and the Beast (1991),5
246,409,Jack (1996),2
87,367,Clueless (1995),4
101,304,Fly Away Home (1996),3
256,127,"Godfather, The (1972)",4
92,794,It Could Happen to You (1994),3
181,762,Beautiful Girls (1996),2
213,235,Mars Attacks! (1996),1
92,739,Pretty Woman (1990),2
292,661,High Noon (1952),5
246,665,Alien 3 (1992),4
274,845,That Thing You Do! (1996),5
188,692,"American President, The (1995)",5
18,86,"Remains of the Day, The (1993)",4
5,439,Amityville: A New Generation (1993),1
236,632,Sophie's Choice (1982),3
193,407,Spy Hard (1996),4
144,709,Strictly Ballroom (1992),4
90,1198,Purple Noon (1960),5
48,609,Father of the Bride (1950),4
5,225,101 Dalmatians (1996),2
22,128,Supercop (1992),5
311,432,Fantasia (1940),4
8,22,Braveheart (1995),5
276,188,Full Metal Jacket (1987),4
222,173,"Princess Bride, The (1987)",5
72,866,Michael (1996),4
299,134,Citizen Kane (1941),4
1,171,Delicatessen (1991),5
308,295,Breakdown (1997),3
165,216,When Harry Met Sally... (1989),4
222,49,I.Q. (1994),3
181,121,Independence Day (ID4) (1996),4
200,11,Seven (Se7en) (1995),5
234,626,So Dear to My Heart (1949),4
244,707,Enchanted April (1991),4
90,25,"Birdcage, The (1996)",5
208,216,When Harry Met Sally... (1989),5
263,96,Terminator 2: Judgment Day (1991),4
134,323,Dante's Peak (1997),4
279,586,Terminal Velocity (1994),4
2,292,Rosewood (1997),4
288,593,Stalingrad (1993),2
49,302,L.A. Confidential (1997),4
286,153,"Fish Called Wanda, A (1988)",5
205,304,Fly Away Home (1996),3
22,80,Hot Shots! Part Deux (1993),4
234,318,Schindler's List (1993),4
223,328,Conspiracy Theory (1997),3
15,25,"Birdcage, The (1996)",3
268,147,"Long Kiss Goodnight, The (1996)",4
94,1220,Higher Learning (1995),3
274,405,Mission: Impossible (1996),4
7,492,East of Eden (1955),5
268,217,Bram Stoker's Dracula (1992),2
16,55,"Professional, The (1994)",5
164,620,"Chamber, The (1996)",3
290,161,Top Gun (1986),4
92,515,"Boot, Das (1981)",4
239,1070,Living in Oblivion (1995),5
56,449,Star Trek: The Motion Picture (1979),5
248,234,Jaws (1975),4
234,10,Richard III (1995),3
280,1049,House Arrest (1996),2
308,187,"Godfather: Part II, The (1974)",5
276,64,"Shawshank Redemption, The (1994)",5
192,948,Booty Call (1997),3
122,509,My Left Foot (1989),4
85,588,Beauty and the Beast (1991),3
262,931,"Island of Dr. Moreau, The (1996)",2
201,272,Good Will Hunting (1997),3
181,870,Touch (1997),2
295,739,Pretty Woman (1990),4
263,568,Speed (1994),4
295,39,Strange Days (1995),4
201,1100,What Happened Was... (1994),4
93,820,Space Jam (1996),3
159,1028,Grumpier Old Men (1995),5
158,665,Alien 3 (1992),2
293,423,E.T. the Extra-Terrestrial (1982),3
82,597,Eraser (1996),3
276,181,Return of the Jedi (1983),5
13,823,Mulholland Falls (1996),5
217,2,GoldenEye (1995),3
83,660,Fried Green Tomatoes (1991),4
189,20,Angels and Insects (1995),5
222,796,Speechless (1994),4
146,1022,"Fast, Cheap & Out of Control (1997)",5
267,121,Independence Day (ID4) (1996),3
126,294,Liar Liar (1997),3
181,1060,"Adventures of Pinocchio, The (1996)",1
125,80,Hot Shots! Part Deux (1993),4
43,120,Striptease (1996),4
13,780,Dumb & Dumber (1994),1
253,259,George of the Jungle (1997),2
42,44,Dolores Claiborne (1994),3
77,518,Miller's Crossing (1990),4
291,686,"Perfect World, A (1993)",5
